obs,survived,pclass,sex,age,sibsp,parch,fare,embarked,solo
1,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
2,1,3rd,male,32.89787305,0,0,7.75,Queenstown,1
3,1,3rd,female,18.454561,2,0,23.25,Queenstown,0
4,1,3rd,female,18.454561,2,0,23.25,Queenstown,0
5,1,3rd,male,28.79474706,2,0,23.25,Queenstown,0
6,1,3rd,female,24.39628354,0,0,7.7874999,Queenstown,1
7,0,3rd,male,33.79621814,0,0,15.5,Queenstown,1
8,1,3rd,female,24.21327665,0,0,7.87919998,Queenstown,1
9,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
10,0,3rd,female,24.64178708,0,0,7.75,Queenstown,1
11,0,3rd,female,24.53010458,0,0,8.05000019,Southampton,1
12,0,3rd,female,35.46524177,0,0,8.05000019,Southampton,1
13,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
14,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
15,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
16,1,3rd,female,24.21327665,0,0,7.87919998,Queenstown,1
17,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
18,1,3rd,female,19.8140765,1,0,24.1499996,Queenstown,0
19,0,3rd,male,32.29941131,1,0,24.1499996,Queenstown,0
20,0,3rd,male,31.37309134,0,0,8.45829964,Queenstown,1
21,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
22,1,3rd,male,28.42336593,0,0,7.7750001,Southampton,1
23,1,3rd,male,6.996944971,1,1,15.2458,Cherbourg,0
24,1,3rd,male,6.996944971,1,1,15.2458,Cherbourg,0
25,1,3rd,female,28.98645715,0,2,15.2458,Cherbourg,0
26,1,3rd,female,31.9376636,0,0,7.22919989,Cherbourg,1
27,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
28,1,3rd,female,23.75251296,0,0,7.73330021,Queenstown,1
29,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
