individual,mode,choice,vcost,travel,wait,gcost,income,size
1,air,0,59,100,69,70,35,1
1,train,0,31,372,34,71,35,1
1,bus,0,25,417,35,70,35,1
1,car,1,10,180,0,30,35,1
2,air,0,58,68,64,68,30,2
2,train,0,31,354,44,84,30,2
2,bus,0,25,399,53,85,30,2
2,car,1,11,255,0,50,30,2
3,air,0,115,125,69,129,40,1
3,train,0,98,892,34,195,40,1
3,bus,0,53,882,35,149,40,1
3,car,1,23,720,0,101,40,1
4,air,0,49,68,64,59,70,3
4,train,0,26,354,44,79,70,3
4,bus,0,21,399,53,81,70,3
4,car,1,5,180,0,32,70,3
5,air,0,60,144,64,82,45,2
5,train,0,32,404,44,93,45,2
5,bus,0,26,449,53,94,45,2
5,car,1,8,600,0,99,45,2
6,air,0,59,100,69,70,20,1
6,train,1,20,345,40,57,20,1
6,bus,0,13,417,35,58,20,1
6,car,0,12,284,0,43,20,1
7,air,1,148,115,45,160,45,1
7,train,0,111,945,34,213,45,1
7,bus,0,66,935,35,167,45,1
7,car,0,36,821,0,125,45,1
8,air,0,121,152,69,137,12,1
8,train,0,52,889,34,149,12,1
8,bus,0,50,879,35,146,12,1
8,car,1,50,780,0,135,12,1
9,air,0,59,100,69,70,40,1
9,train,0,31,372,34,71,40,1
9,bus,0,25,417,35,70,40,1
9,car,1,17,210,0,40,40,1
10,air,0,58,68,69,65,70,2
10,train,0,31,357,34,69,70,2
10,bus,0,25,402,35,68,70,2
10,car,1,7,210,0,30,70,2
11,air,0,58,68,64,68,15,2
11,train,0,16,357,44,70,15,2
11,bus,0,13,402,53,73,15,2
11,car,1,4,210,0,36,15,2
12,air,0,62,108,64,79,35,2
12,train,0,34,370,44,90,35,2
12,bus,0,28,415,53,91,35,2
12,car,1,6,250,0,44,35,2
13,air,0,45,114,64,63,50,4
13,train,0,24,378,44,81,50,4
13,bus,0,19,423,53,83,50,4
13,car,1,5,240,0,41,50,4
14,air,0,58,94,64,72,40,1
14,train,0,31,360,44,85,40,1
14,bus,0,25,405,53,86,40,1
14,car,1,15,285,0,58,40,1
15,air,0,83,169,64,109,26,4
15,train,0,70,948,44,214,26,4
15,bus,0,47,938,53,189,26,4
15,car,1,17,1200,0,199,26,4
16,air,0,60,127,69,73,26,1
16,train,1,19,325,20,55,26,1
16,bus,0,25,435,35,72,26,1
16,car,0,14,350,0,52,26,1
17,air,0,61,74,69,69,26,1
17,train,1,38,255,15,66,26,1
17,bus,0,26,389,35,68,26,1
17,car,0,13,315,0,47,26,1
18,air,0,67,86,69,76,6,1
18,train,1,21,300,20,54,6,1
18,bus,0,19,399,35,63,6,1
18,car,0,17,327,0,53,6,1
19,air,0,59,148,69,75,20,1
19,train,1,18,305,45,51,20,1
19,bus,0,14,456,35,63,20,1
19,car,0,16,427,0,62,20,1
20,air,0,58,93,64,72,72,2
20,train,1,28,305,10,75,72,2
20,bus,0,25,346,53,78,72,2
20,car,0,9,316,0,57,72,2
21,air,0,61,73,69,69,6,1
21,train,1,21,305,20,54,6,1
21,bus,0,15,395,35,58,6,1
21,car,0,13,314,0,47,6,1
22,air,0,62,235,64,98,10,2
22,train,1,45,465,45,116,10,2
22,bus,0,17,623,53,111,10,2
22,car,0,13,559,0,98,10,2
23,air,1,142,105,90,153,50,1
23,train,0,71,596,34,136,50,1
23,bus,0,32,590,35,96,50,1
23,car,0,33,577,0,96,50,1
24,air,1,120,110,50,132,50,1
24,train,0,70,596,34,135,50,1
24,bus,0,31,590,35,95,50,1
24,car,0,33,577,0,96,50,1
25,air,1,85,65,15,92,18,2
25,train,0,15,361,34,55,18,2
25,bus,0,12,406,35,56,18,2
25,car,0,9,296,0,41,18,2
26,air,1,85,140,30,106,60,1
26,train,0,90,928,44,231,60,1
26,bus,0,45,918,53,185,60,1
26,car,0,86,902,0,223,60,1
27,air,1,75,110,80,87,45,1
27,train,0,70,638,34,140,45,1
27,bus,0,31,632,35,100,45,1
27,car,0,39,581,0,102,45,1
28,air,1,85,140,45,106,18,2
28,train,0,39,664,44,139,18,2
28,bus,0,35,658,53,135,18,2
28,car,0,19,592,0,109,18,2
29,air,0,74,179,64,101,8,2
29,train,1,43,320,60,91,8,2
29,bus,0,21,345,53,74,8,2
29,car,0,9,321,0,58,8,2
30,air,0,59,100,69,70,6,1
30,train,1,11,285,2,42,6,1
30,bus,0,13,417,35,58,6,1
30,car,0,13,284,0,44,6,1
31,air,0,59,101,69,70,20,1
31,train,1,17,300,5,50,20,1
31,bus,0,25,420,35,70,20,1
31,car,0,13,297,0,45,20,1
32,air,0,64,90,69,73,45,1
32,train,1,32,325,15,67,45,1
32,bus,0,29,405,35,73,45,1
32,car,0,18,327,0,54,45,1
33,air,0,59,73,64,70,70,2
33,train,1,29,290,45,73,70,2
33,bus,0,26,395,53,86,70,2
33,car,0,9,314,0,57,70,2
34,air,0,62,66,69,70,4,1
34,train,1,31,295,10,63,4,1
34,bus,0,19,397,35,62,4,1
34,car,0,17,307,0,50,4,1
35,air,0,60,132,69,75,40,1
35,train,1,15,330,15,50,40,1
35,bus,0,26,373,35,67,40,1
35,car,0,12,309,0,46,40,1
36,air,0,60,117,69,73,35,1
36,train,1,23,325,10,58,35,1
36,bus,0,25,425,35,71,35,1
36,car,0,17,307,0,50,35,1
37,air,0,62,184,64,90,40,2
37,train,1,24,360,45,79,40,2
37,bus,0,28,464,53,98,40,2
37,car,0,11,427,0,76,40,2
38,air,0,50,67,64,60,4,3
38,train,1,31,265,30,71,4,3
38,bus,0,14,393,53,73,4,3
38,car,0,6,308,0,53,4,3
39,air,0,48,154,64,71,15,4
39,train,1,25,360,55,80,15,4
39,bus,0,14,462,53,84,15,4
39,car,0,4,351,0,57,15,4
40,air,1,147,100,30,158,26,1
40,train,0,96,678,34,169,26,1
40,bus,0,57,672,35,130,26,1
40,car,0,28,629,0,96,26,1
41,air,1,125,110,75,137,26,1
41,train,0,70,596,34,135,26,1
41,bus,0,31,590,35,95,26,1
41,car,0,24,577,0,87,26,1
42,air,1,152,95,40,162,70,1
42,train,0,73,600,34,138,70,1
42,bus,0,34,594,35,98,70,1
42,car,0,24,587,0,88,70,1
43,air,1,116,180,30,136,70,1
43,train,0,71,657,34,142,70,1
43,bus,0,32,651,35,102,70,1
43,car,0,29,629,0,97,70,1
44,air,1,100,105,40,116,45,2
44,train,0,70,622,44,165,45,2
44,bus,0,31,616,53,125,45,2
44,car,0,17,577,0,105,45,2
45,air,1,105,115,45,122,8,2
45,train,0,35,622,44,130,8,2
45,bus,0,31,616,53,125,8,2
45,car,0,12,577,0,100,8,2
46,air,1,106,190,20,127,70,1
46,train,0,72,659,34,143,70,1
46,bus,0,33,653,35,104,70,1
46,car,0,44,592,0,108,70,1
47,air,1,90,100,60,105,26,2
47,train,0,69,596,44,160,26,2
47,bus,0,30,590,53,120,26,2
47,car,0,13,577,0,101,26,2
48,air,1,48,115,40,60,50,1
48,train,0,31,365,34,70,50,1
48,bus,0,25,410,35,69,50,1
48,car,0,16,308,0,49,50,1
49,air,1,69,85,50,82,10,3
49,train,0,16,344,44,68,10,3
49,bus,0,13,389,53,72,10,3
49,car,0,4,315,0,52,10,3
50,air,1,99,135,75,114,30,1
50,train,0,96,678,34,169,30,1
50,bus,0,57,672,35,130,30,1
50,car,0,29,629,0,97,30,1
