word,sentiment,lexicon,score
2-faced,negative,bing,NA
2-faces,negative,bing,NA
a+,positive,bing,NA
abnormal,negative,bing,NA
abolish,negative,bing,NA
abominable,negative,bing,NA
abominably,negative,bing,NA
abominate,negative,bing,NA
abomination,negative,bing,NA
abort,negative,bing,NA
aborted,negative,bing,NA
aborts,negative,bing,NA
abound,positive,bing,NA
abounds,positive,bing,NA
abrade,negative,bing,NA
abrasive,negative,bing,NA
abrupt,negative,bing,NA
abruptly,negative,bing,NA
abscond,negative,bing,NA
absence,negative,bing,NA
absent-minded,negative,bing,NA
absentee,negative,bing,NA
absurd,negative,bing,NA
absurdity,negative,bing,NA
absurdly,negative,bing,NA
absurdness,negative,bing,NA
abundance,positive,bing,NA
abundant,positive,bing,NA
abuse,negative,bing,NA
abused,negative,bing,NA
abuses,negative,bing,NA
abusive,negative,bing,NA
abysmal,negative,bing,NA
abysmally,negative,bing,NA
abyss,negative,bing,NA
accessable,positive,bing,NA
accessible,positive,bing,NA
accidental,negative,bing,NA
acclaim,positive,bing,NA
acclaimed,positive,bing,NA
acclamation,positive,bing,NA
accolade,positive,bing,NA
accolades,positive,bing,NA
accommodative,positive,bing,NA
accomodative,positive,bing,NA
accomplish,positive,bing,NA
accomplished,positive,bing,NA
accomplishment,positive,bing,NA
accomplishments,positive,bing,NA
accost,negative,bing,NA
accurate,positive,bing,NA
accurately,positive,bing,NA
accursed,negative,bing,NA
accusation,negative,bing,NA
accusations,negative,bing,NA
accuse,negative,bing,NA
accuses,negative,bing,NA
accusing,negative,bing,NA
accusingly,negative,bing,NA
acerbate,negative,bing,NA
acerbic,negative,bing,NA
acerbically,negative,bing,NA
ache,negative,bing,NA
ached,negative,bing,NA
aches,negative,bing,NA
achey,negative,bing,NA
achievable,positive,bing,NA
achievement,positive,bing,NA
achievements,positive,bing,NA
achievible,positive,bing,NA
aching,negative,bing,NA
acrid,negative,bing,NA
acridly,negative,bing,NA
acridness,negative,bing,NA
acrimonious,negative,bing,NA
acrimoniously,negative,bing,NA
acrimony,negative,bing,NA
acumen,positive,bing,NA
adamant,negative,bing,NA
adamantly,negative,bing,NA
adaptable,positive,bing,NA
adaptive,positive,bing,NA
addict,negative,bing,NA
addicted,negative,bing,NA
addicting,negative,bing,NA
addicts,negative,bing,NA
adequate,positive,bing,NA
adjustable,positive,bing,NA
admirable,positive,bing,NA
admirably,positive,bing,NA
admiration,positive,bing,NA
admire,positive,bing,NA
admirer,positive,bing,NA
admiring,positive,bing,NA
admiringly,positive,bing,NA
admonish,negative,bing,NA
admonisher,negative,bing,NA
admonishingly,negative,bing,NA
admonishment,negative,bing,NA
admonition,negative,bing,NA
adorable,positive,bing,NA
adore,positive,bing,NA
adored,positive,bing,NA
adorer,positive,bing,NA
adoring,positive,bing,NA
adoringly,positive,bing,NA
adroit,positive,bing,NA
adroitly,positive,bing,NA
adulate,positive,bing,NA
adulation,positive,bing,NA
adulatory,positive,bing,NA
adulterate,negative,bing,NA
adulterated,negative,bing,NA
adulteration,negative,bing,NA
adulterier,negative,bing,NA
advanced,positive,bing,NA
advantage,positive,bing,NA
advantageous,positive,bing,NA
advantageously,positive,bing,NA
advantages,positive,bing,NA
adventuresome,positive,bing,NA
adventurous,positive,bing,NA
adversarial,negative,bing,NA
adversary,negative,bing,NA
adverse,negative,bing,NA
adversity,negative,bing,NA
advocate,positive,bing,NA
advocated,positive,bing,NA
advocates,positive,bing,NA
affability,positive,bing,NA
affable,positive,bing,NA
affably,positive,bing,NA
affectation,positive,bing,NA
affection,positive,bing,NA
affectionate,positive,bing,NA
affinity,positive,bing,NA
affirm,positive,bing,NA
affirmation,positive,bing,NA
affirmative,positive,bing,NA
afflict,negative,bing,NA
affliction,negative,bing,NA
afflictive,negative,bing,NA
affluence,positive,bing,NA
affluent,positive,bing,NA
afford,positive,bing,NA
affordable,positive,bing,NA
affordably,positive,bing,NA
affront,negative,bing,NA
afordable,positive,bing,NA
afraid,negative,bing,NA
aggravate,negative,bing,NA
aggravating,negative,bing,NA
aggravation,negative,bing,NA
aggression,negative,bing,NA
aggressive,negative,bing,NA
aggressiveness,negative,bing,NA
aggressor,negative,bing,NA
aggrieve,negative,bing,NA
aggrieved,negative,bing,NA
aggrivation,negative,bing,NA
aghast,negative,bing,NA
agile,positive,bing,NA
agilely,positive,bing,NA
agility,positive,bing,NA
agonies,negative,bing,NA
agonize,negative,bing,NA
agonizing,negative,bing,NA
agonizingly,negative,bing,NA
agony,negative,bing,NA
agreeable,positive,bing,NA
agreeableness,positive,bing,NA
agreeably,positive,bing,NA
aground,negative,bing,NA
ail,negative,bing,NA
ailing,negative,bing,NA
ailment,negative,bing,NA
aimless,negative,bing,NA
alarm,negative,bing,NA
alarmed,negative,bing,NA
alarming,negative,bing,NA
alarmingly,negative,bing,NA
alienate,negative,bing,NA
alienated,negative,bing,NA
alienation,negative,bing,NA
all-around,positive,bing,NA
allegation,negative,bing,NA
allegations,negative,bing,NA
allege,negative,bing,NA
allergic,negative,bing,NA
allergies,negative,bing,NA
allergy,negative,bing,NA
alluring,positive,bing,NA
alluringly,positive,bing,NA
aloof,negative,bing,NA
altercation,negative,bing,NA
altruistic,positive,bing,NA
altruistically,positive,bing,NA
amaze,positive,bing,NA
amazed,positive,bing,NA
amazement,positive,bing,NA
amazes,positive,bing,NA
amazing,positive,bing,NA
amazingly,positive,bing,NA
ambiguity,negative,bing,NA
ambiguous,negative,bing,NA
ambitious,positive,bing,NA
ambitiously,positive,bing,NA
ambivalence,negative,bing,NA
ambivalent,negative,bing,NA
ambush,negative,bing,NA
ameliorate,positive,bing,NA
amenable,positive,bing,NA
amenity,positive,bing,NA
amiability,positive,bing,NA
amiabily,positive,bing,NA
amiable,positive,bing,NA
amicability,positive,bing,NA
amicable,positive,bing,NA
amicably,positive,bing,NA
amiss,negative,bing,NA
amity,positive,bing,NA
ample,positive,bing,NA
amply,positive,bing,NA
amputate,negative,bing,NA
amuse,positive,bing,NA
amusing,positive,bing,NA
amusingly,positive,bing,NA
anarchism,negative,bing,NA
anarchist,negative,bing,NA
anarchistic,negative,bing,NA
anarchy,negative,bing,NA
anemic,negative,bing,NA
angel,positive,bing,NA
angelic,positive,bing,NA
anger,negative,bing,NA
angrily,negative,bing,NA
angriness,negative,bing,NA
angry,negative,bing,NA
anguish,negative,bing,NA
animosity,negative,bing,NA
annihilate,negative,bing,NA
annihilation,negative,bing,NA
annoy,negative,bing,NA
annoyance,negative,bing,NA
annoyances,negative,bing,NA
annoyed,negative,bing,NA
annoying,negative,bing,NA
annoyingly,negative,bing,NA
annoys,negative,bing,NA
anomalous,negative,bing,NA
anomaly,negative,bing,NA
antagonism,negative,bing,NA
antagonist,negative,bing,NA
antagonistic,negative,bing,NA
antagonize,negative,bing,NA
anti-,negative,bing,NA
anti-american,negative,bing,NA
anti-israeli,negative,bing,NA
anti-occupation,negative,bing,NA
anti-proliferation,negative,bing,NA
anti-semites,negative,bing,NA
anti-social,negative,bing,NA
anti-us,negative,bing,NA
anti-white,negative,bing,NA
antipathy,negative,bing,NA
antiquated,negative,bing,NA
antithetical,negative,bing,NA
anxieties,negative,bing,NA
anxiety,negative,bing,NA
anxious,negative,bing,NA
anxiously,negative,bing,NA
anxiousness,negative,bing,NA
apathetic,negative,bing,NA
apathetically,negative,bing,NA
apathy,negative,bing,NA
apocalypse,negative,bing,NA
apocalyptic,negative,bing,NA
apologist,negative,bing,NA
apologists,negative,bing,NA
